-0.5,0
-0.65,0
-0.71,0
-0.75,0
-0.8,0
-0.88,0
-0.98,0
-0.89,0
-1.02,0
-0.95,0
-0.98,0
-0.94,0
-0.64,0
-0.63,0
-0.49,0
-0.28,0
-0.06,1
0.03,1
0.17,1
0.35,1
0.35,1
0.41,1
0.43,1
0.48,1
0.47,1
0.44,1
0.4,1
0.4,1
0.4,1
0.38,1
0.37,1
0.4,1
0.46,1
0.45,1
0.38,1
0.45,1
0.4,1
0.44,1
0.35,1
0.4,1
0.38,1
0.33,1
0.33,1
0.35,1
0.32,1
0.29,1
0.31,1
0.27,1
0.25,1
0.23,1
0.23,1
0.26,1
0.22,1
0.36,1
0.42,1
0.44,1
0.35,1
0.34,1
0.31,1
0.23,1
0.1,1
0.1,1
0.13,1
0.07,1
0.08,1
0.13,1
0.06,1
0.05,1
0.07,1
0.07,1
0.07,1
0.07,1
0.05,1
0.1,1
0.1,1
0.09,1
0.24,1
0.47,1
0.98,1
1.32,1
0.82,1
0.26,1
-0.27,1
0.25,1
0.55,1
0.41,1
0.62,1
0.46,1
0.18,1
-0.25,1
-0.32,1
-0.44,0
-0.46,0
-0.51,0
-0.56,0
-0.57,0
-0.6,0
-0.6,0
-0.66,0
-0.71,0
-0.68,0
-0.81,0
-0.84,0
-0.88,0
-0.92,0
-1.02,0
-1.08,0
-1.15,0
-1.15,0
-1.2,0
-1.19,0
-1.11,0
-1.01,0
-0.9,0
-0.8,0
-0.52,0
-0.32,0
-0.15,0
-0.07,0
0.07,0
0.2,0
0.24,0
0.29,0
0.34,0
0.28,0
0.26,0
0.25,0
0.25,0
0.19,0
0.22,0
0.22,0
0.25,0
0.2,0
0.25,0
0.27,0
0.25,0
0.23,0
0.2,0
0.29,0
0.22,0
0.22,0
0.2,0
0.21,0
0.21,0
0.15,0
0.16,0
0.15,0
0.1,0
0.1,0
0.15,0
0.11,0
0.1,0
0.1,0
0.15,0
0.26,0
0.33,0
0.31,0
0.27,0
0.24,0
0.15,0
0.06,0
0.05,0
0.02,0
-0.02,0
-0.04,0
-0.04,0
0.03,0
-0.11,0
-0.06,0
-0.04,0
-0.06,0
-0.05,0
-0.05,0
-0.01,0
-0.03,0
-0.06,0
0.06,0
0.17,0
0.5,0
0.99,0
0.91,0
0.86,0
0.22,0
-0.18,0
0.29,0
0.59,0
0.34,0
0.52,0
0.5,0
0.03,0
-0.32,0
-0.34,0
-0.38,0
-0.43,0
-0.47,0
-0.48,0
-0.47,0
-0.47,0
-0.56,0
-0.62,0
-0.57,0
-0.64,0
-0.68,0
-0.68,0
-0.75,0
-0.82,0
-0.84,0
-0.9,0
-0.93,0
-0.96,0
-0.98,0
-0.92,0
-0.87,0
-0.77,0
-0.7,0
-0.51,0
-0.3,0
-0.2,0
-0.01,0
0.15,0
0.28,0
0.29,0
0.38,0
0.46,0
0.43,0
0.4,0
0.46,0
0.41,0
0.47,0
0.36,0
0.45,0
0.37,0
0.46,0
0.4,0
0.42,0
0.47,0
0.47,0
0.45,0
0.5,0
0.5,0
0.43,0
0.48,0
0.47,0
0.46,0
0.44,0
0.43,0
0.43,0
0.42,0
0.31,0
0.44,0
0.35,0
0.4,0
0.39,0
0.37,0
0.58,0
0.52,0
0.57,0
0.48,0
0.47,0
0.35,0
0.29,0
0.22,0
0.3,0
0.21,0
0.14,0
0.19,0
0.24,0
0.14,0
0.13,0
0.16,0
0.15,0
0.13,0
0.18,0
0.17,0
0.15,0
0.13,0
0.27,0
0.41,0
0.97,0
1.605,0
1.03,0
1.09,0
0.45,0
-0.03,0
0.52,0
0.74,0
0.51,0
0.56,0
0.53,0
0.12,0
-0.23,0
-0.22,0
-0.26,0
-0.34,0
-0.42,0
-0.44,0
-0.47,0
-0.51,0
-0.52,0
-0.65,0
-0.6,0
-0.7,0
-0.79,0
-0.84,0
-0.87,0
-0.96,0
-1.04,0
-1.05,0
-1.09,0
-1.17,0
-1.18,0
-1.16,0
-1.09,0
-0.96,0
-0.83,0
-0.58,0
-0.47,0
-0.31,0
-0.08,0
0.04,0
0.14,0
0.24,0
0.26,0
0.41,0
0.35,0
0.34,0
0.33,0
0.29,0
0.28,0
0.24,0
0.32,0
0.3,0
0.27,0
0.32,0
0.3,0
0.33,0
0.28,0
0.28,0
0.28,0
0.27,0
0.25,0
0.24,0
0.23,0
0.24,0
0.19,0
0.26,0
0.16,0
0.2,0
0.15,0
0.19,0
0.1,0
0.07,0
0.14,0
0.14,0
0.25,0
0.33,0
0.34,0
0.31,0
0.24,0
0.16,0
0.12,0
0.11,0
-0.02,0
0.03,0
0.05,0
0.02,0
0.07,0
0.01,0
0.03,0
0.02,0
0.01,0
0.06,0
0.0,0
0.03,0
0.0,0
-0.01,0
0.11,0
0.15,0
0.48,0
0.93,0
1.23,0
0.87,0
0.23,0
-0.29,0
0.27,0
0.53,0
0.36,0
0.59,0
0.43,0
0.09,0
-0.29,0
-0.36,0
-0.45,0
-0.5,0
-0.56,0
-0.51,0
-0.63,0
-0.67,0
-0.66,0
-0.72,0
-0.76,0
-0.83,0
-0.83,0
-0.91,0
-0.96,0
-1.05,0
-1.02,0
-1.2,0
-1.22,0
-1.28,0
-1.2,0
-1.27,0
-1.24,0
-1.12,0
-0.95,0
-0.86,0
-0.65,0
-0.45,0
-0.26,0
-0.14,0
-0.04,0
0.18,0
0.19,0
0.14,0
0.29,0
0.32,0
0.3,0
0.14,0
0.36,0
0.19,0
0.22,0
0.19,0
0.18,0
0.25,0
0.2,0
0.19,0
0.2,0
0.13,0
0.26,0
0.18,0
0.36,0
0.18,0
0.23,0
0.17,0
0.19,0
0.22,0
0.15,0
0.15,0
0.18,0
0.09,0
0.09,0
0.14,0
0.16,0
0.09,0
0.17,0
0.28,0
0.37,0
0.36,0
0.26,0
0.24,0
0.15,0
0.1,0
0.04,0
0.09,0
0.04,0
0.0,0
0.0,0
0.06,0
0.01,0
0.03,0
0.02,0
0.01,0
0.07,0
0.0,0
0.04,0
0.08,0
0.07,0
0.11,0
0.22,0
0.63,0
1.1,0
0.92,0
0.98,0
0.34,0
-0.07,0
0.42,0
0.65,0
0.47,0
0.53,0
0.56,0
0.04,0
-0.3,0
-0.33,0
-0.36,0
-0.4,0
-0.44,0
-0.47,0
-0.5,0
-0.55,0
-0.52,0
-0.63,0
-0.65,0
-0.67,0
-0.74,0
-0.8,0
-0.87,0
-0.85,0
-0.97,0
-1.03,0
-1.08,0
-1.04,0
-1.13,0
-1.02,0
-0.99,0
-0.88,0
-0.73,0
-0.65,0
-0.36,0
-0.21,0
-0.02,0
0.05,0
0.21,0
0.22,0
0.36,0
0.36,0
0.36,0
0.38,0
0.37,0
0.36,0
0.36,0
0.32,0
0.28,0
0.33,0
0.32,0
0.33,0
0.37,0
0.35,0
0.35,0
0.32,0
0.35,0
0.33,0
0.34,0
0.35,0
0.33,0
0.35,0
0.28,0
0.31,0
0.23,0
0.35,0
0.25,0
0.29,0
0.23,0
0.28,0
0.3,0
0.26,0
0.39,0
0.49,0
0.52,0
0.44,0
0.45,0
0.4,0
0.3,0
0.27,0
0.18,0
0.24,0
0.16,0
0.16,0
0.26,0
0.13,0
0.09,0
0.15,0
0.06,0
0.31,0
0.1,0
0.2,0
0.2,0
0.1,0
0.19,0
0.39,0
0.47,0
1.07,0
1.51,0
0.87,0
0.65,0
0.01,0
0.31,0
0.58,0
0.72,0
0.71,0
0.57,0
0.42,0
0.26,0
-0.07,0
-0.07,0
-0.1,0
-0.21,0
-0.21,0
-0.17,0
-0.32,0
-0.3,0
-0.41,0
-0.33,0
-0.42,0
-0.44,0
-0.58,0
-0.52,0
-0.49,0
-0.86,0
-0.61,0
-0.78,0
-0.7,0
-0.87,0
-0.81,0
-0.72,0
-0.48,0
-0.62,0
-0.42,0
-0.14,0
-0.09,0
0.02,0
0.27,0
0.47,0
0.45,0
0.52,0
0.61,0
0.61,0
0.63,0
0.57,0
0.75,0
0.46,0
0.47,0
0.77,0
0.48,0
0.63,0
0.48,0
0.4,0
1.0,0
0.63,0
0.6,0
0.51,0
0.55,0
0.62,0
0.56,0
0.53,0
0.56,0
0.5,0
0.57,0
0.1,0
0.735,0
0.64,0
0.31,0
0.41,0
0.44,0
0.53,0
0.47,0
0.68,0
0.7,0
0.5,0
0.65,0
0.84,0
0.61,0
0.3,0
0.38,0
0.67,0
0.53,0
0.07,0
0.42,0
0.68,0
0.22,0
-0.04,0
0.595,0
0.82,0
0.3,0
0.78,0
0.5,0
0.57,0
0.25,0
0.4,0
0.3,0
0.935,0
0.77,0
1.405,0
1.9,0
1.26,0
0.62,0
0.35,0
0.77,0
0.99,0
0.69,0
0.74,0
0.6,0
0.49,0
-0.15,0
0.485,0
-0.155,0
-0.25,0
0.24,0
-0.33,0
-0.09,0
-0.39,0
0.02,0
-0.46,0
-0.45,0
-0.64,0
-0.005,0
-0.58,0
-0.45,0
-0.4,0
-1.04,0
-0.72,0
-0.44,0
-0.52,0
-0.44,0
-0.71,0
-0.45,0
-0.65,0
-0.35,0
-0.7,0
-0.065,0
-0.46,0
0.13,0
0.1,0
0.46,0
0.41,0
0.39,0
0.31,0
0.64,0
0.38,0
0.33,0
0.15,0
0.31,0
0.11,0
0.55,0
0.45,0
0.62,0
0.33,0
0.41,0
0.43,0
0.29,0
0.37,0
0.33,0
-0.01,0
0.51,0
0.7,0
0.58,0
0.57,0
0.56,0
-0.08,0
0.555,0
0.3,0
0.34,0
0.28,0
0.11,0
0.43,0
0.86,0
0.65,0
0.69,0
0.76,0
0.67,0
0.66,0
0.47,0
0.41,0
0.42,0
0.29,0
0.31,0
0.33,0
0.12,0
0.27,0
0.31,0
0.33,0
0.26,0
0.1,0
0.28,0
0.38,0
0.34,0
0.31,0
0.17,0
0.26,0
0.62,0
0.58,0
1.215,0
1.34,0
0.7,0
0.47,0
-0.17,0
0.38,0
0.76,0
0.75,0
0.76,0
0.69,0
0.45,0
0.18,0
-0.14,0
-0.27,0
-0.1,0
-0.3,0
-0.27,0
-0.35,0
-0.14,0
-0.48,0
-0.42,0
-0.95,0
-1.02,0
-0.385,0
0.25,0
-0.39,0
-1.0,0
-1.29,0
-0.655,0
-0.83,0
-1.14,0
-0.71,0
-0.83,0
-0.82,0
-0.73,0
-0.23,0
-0.2,0
-0.19,0
0.06,0
0.11,0
0.31,0
0.22,0
0.37,0
0.47,0
0.46,0
0.56,0
0.56,0
0.4,0
0.22,0
0.41,0
0.42,0
0.4,0
0.38,0
0.37,0
0.48,0
0.37,0
0.4,0
0.43,0
0.33,0
0.39,0
-0.2,0
0.435,0
0.49,0
0.42,0
0.26,0
0.26,0
0.29,0
0.26,0
0.26,0
0.18,0
0.18,0
0.15,0
0.09,0
0.07,0
0.4,0
0.02,0
0.56,0
0.24,0
0.27,0
0.11,0
-0.03,0
0.04,0
0.06,0
-0.16,0
-0.14,0
-0.12,0
-0.23,0
-0.09,0
-0.09,0
-0.23,0
-0.19,0
-0.04,0
-0.27,0
-0.12,0
-0.33,0
-0.35,0
0.05,0
0.06,0
0.24,0
0.64,0
0.92,0
0.51,0
-0.13,0
-0.6,0
-0.11,0
-0.01,0
-0.08,0
0.03,0
-0.09,0
-0.22,0
-0.72,0
-0.72,0
-0.68,0
-0.95,0
-0.77,0
-0.75,0
-1.08,0
-0.99,0
-0.94,0
-1.06,0
-0.95,0
-1.06,0
-1.28,0
-1.28,0
-1.1,0
-1.26,0
-1.27,0
-1.4,0
-1.4,0
-1.48,0
-1.54,0
-1.47,0
-1.51,0
-1.39,0
-1.27,0
-1.18,0
-0.94,0
-0.8,0
-0.67,0
-0.48,0
-0.34,0
-0.26,0
-0.12,0
-0.08,0
-0.07,0
-0.07,0
0.03,0
0.19,0
0.03,0
0.07,0
0.14,0
0.14,0
0.2,0
0.12,0
0.23,0
0.3,0
0.16,0
0.22,0
0.16,0
0.2,0
0.16,0
0.13,0
0.15,0
0.16,0
0.01,0
0.05,0
-0.04,0
-0.01,0
0.06,0
0.2,0
0.1,0
-0.33,0
0.305,0
0.48,0
0.27,0
0.26,0
0.25,0
0.21,0
0.16,0
0.03,0
-0.04,0
-0.02,0
-0.08,0
-0.01,0
-0.06,0
-0.01,0
-0.01,0
-0.15,0
-0.03,0
-0.12,0
-0.04,0
-0.33,0
-0.23,0
0.09,0
0.04,0
0.26,0
0.57,0
1.09,0
0.82,0
0.77,0
0.13,0
-0.33,0
-0.01,0
0.36,0
-0.02,0
0.16,0
-0.01,0
-0.14,0
-0.35,0
-0.5,0
-0.56,0
-0.51,0
-0.49,0
-0.58,0
-0.76,0
-0.73,0
-0.82,0
-0.94,0
-0.86,0
-0.84,0
-0.85,0
-1.02,0
-1.01,0
-1.2,0
-1.06,0
-1.32,0
-1.28,0
-1.45,0
-1.47,0
-1.33,0
-1.32,0
-1.17,0
-1.1,0
-0.94,0
-0.76,0
-0.48,0
-0.45,0
-0.27,0
-0.14,0
0.05,0
0.1,0
0.0,0
0.08,0
0.22,0
0.23,0
0.33,0
0.22,0
0.25,0
0.26,0
0.2,0
0.02,0
0.08,0
0.02,0
0.12,0
-0.12,0
-0.16,0
-0.22,0
-0.23,0
-0.39,0
-0.28,0
-0.65,0
-0.51,0
-0.62,0
-0.62,0
-0.77,0
-0.77,0
-0.76,0
-0.69,0
-0.79,0
-0.72,0
-0.47,0
-0.53,0
-0.33,0
-0.27,0
-0.56,0
-0.17,0
-0.59,0
-0.47,0
-0.49,0
-0.48,0
-0.46,0
-0.8,0
-0.39,0
-0.25,0
-0.69,0
-0.59,0
-0.32,0
-0.59,0
-0.6,0
-0.58,0
-0.72,0
-0.44,0
-0.53,0
-0.35,0
-0.06,0
0.42,0
0.76,0
0.12,0
-0.52,0
-1.1,0
-0.73,0
-0.78,0
-0.99,0
-0.73,0
-1.26,0
-0.86,0
-1.13,0
-1.77,0
-1.58,0
-1.37,0
-1.79,0
-2.16,0
-1.525,0
-1.79,0
-1.75,0
-1.66,0
-1.72,0
-2.08,0
-1.96,0
-1.84,0
-2.09,0
-2.24,0
-2.4,0
-1.84,0
-1.84,0
-1.79,0
-2.03,0
-1.94,0
-1.98,0
-1.39,0
-1.39,0
-1.9,0
-1.265,0
-1.22,0
-0.71,0
-1.05,0
-0.68,0
-0.05,0
-0.44,0
-0.29,0
-0.54,0
-0.28,0
-0.37,0
-0.38,0
-0.99,0
-0.4,0
-0.16,0
-0.28,0
-0.51,0
0.03,0
-0.53,0
-0.26,0
-0.5,0
-0.11,0
-0.18,0
-0.09,0
-0.17,0
-0.14,0
-0.31,0
-0.15,0
-0.29,0
-0.41,0
-0.24,0
-0.22,0
-0.39,0
-0.35,0
-0.22,0
-0.24,0
-0.18,0
-0.18,0
-0.45,0
-0.48,0
-0.55,0
-0.41,0
-0.3,0
-0.58,0
-0.66,0
-0.75,0
-0.46,0
-0.66,0
-0.37,0
-0.53,0
-0.69,0
-0.45,0
-0.6,0
-0.52,0
-0.25,0
-0.65,0
-0.47,0
-0.04,0
0.39,0
0.72,0
0.5,0
0.54,0
-0.1,0
-0.46,0
-0.28,0
0.24,0
-0.03,0
-0.1,0
-0.37,0
-0.03,0
-0.23,0
-0.45,0
-0.23,0
-0.81,0
-0.175,0
-0.59,0
-0.54,0
-0.55,0
-0.56,0
-0.56,0
-0.57,0
-0.52,0
-0.69,0
-0.8,0
-0.96,0
-0.325,0
-0.88,0
-1.03,0
-0.47,0
-0.73,0
-0.63,0
-0.8,0
-0.86,0
-0.58,0
-0.76,0
-0.3,0
-0.51,0
0.125,0
-0.515,0
0.12,0
-0.01,0
0.21,0
0.36,0
0.39,0
0.2,0
0.05,0
0.685,0
0.47,0
0.31,0
0.39,0
0.53,0
0.69,0
0.46,0
0.55,0
0.48,0
0.63,0
0.69,0
0.51,0
0.48,0
0.5,0
0.68,0
0.44,0
0.29,0
0.53,0
0.52,0
0.63,0
0.55,0
0.38,0
0.66,0
0.25,0
0.55,0
0.57,0
0.6,0
0.48,0
0.5,0
0.28,0
0.29,0
0.32,0
0.29,0
0.19,0
0.12,0
0.15,0
0.29,0
0.21,0
0.1,0
0.2,0
0.15,0
0.23,0
0.08,0
0.08,0
0.27,0
0.01,0
0.22,0
0.46,0
0.92,0
1.555,0
1.28,0
1.1,0
0.46,0
0.03,0
0.42,0
0.53,0
0.41,0
0.52,0
0.16,0
0.28,0
-0.36,0
0.0,0
-0.25,0
-0.41,0
-0.43,0
-0.36,0
-0.53,0
-0.43,0
-0.48,0
-0.56,0
-0.55,0
-0.61,0
-0.67,0
-0.69,0
-0.85,0
-0.73,0
-0.94,0
-0.88,0
-0.83,0
-1.06,0
-1.1,0
-1.03,0
-0.93,0
-0.93,0
-0.8,0
-0.67,0
-0.52,0
-0.25,0
-0.09,0
-0.08,0
0.1,0
0.11,0
0.26,0
0.17,0
0.3,0
0.23,0
0.22,0
0.24,0
0.26,0
0.32,0
0.29,0
0.16,0
0.31,0
0.28,0
0.25,0
0.24,0
0.37,0
0.33,0
0.37,0
0.37,0
0.29,0
0.45,0
0.34,0
0.46,0
0.46,0
0.38,0
0.42,0
0.32,0
0.38,0
0.37,0
0.5,0
0.48,0
0.6,0
0.64,0
0.45,0
0.33,0
0.36,0
0.41,0
0.29,0
0.31,0
0.26,0
0.22,0
0.29,0
0.13,0
0.27,0
0.22,0
0.25,0
0.26,0
0.29,0
0.22,0
0.29,0
0.28,0
0.32,0
0.47,0
0.71,0
1.345,0
1.8,0
1.16,0
0.52,0
-0.12,0
0.25,0
0.48,0
0.49,0
0.54,0
0.32,0
0.25,0
0.1,0
-0.23,0
0.02,0
-0.17,0
-0.23,0
-0.26,0
-0.33,0
-0.27,0
-0.35,0
-0.39,0
-0.57,0
-0.52,0
-0.4,0
-0.54,0
-0.62,0
-0.56,0
-0.82,0
-0.56,0
-0.85,0
-0.59,0
-0.8,0
-0.8,0
-0.84,0
-0.67,0
-0.49,0
-0.42,0
-0.31,0
-0.11,0
-0.14,0
0.1,0
0.08,0
0.45,0
0.24,0
0.28,0
0.36,0
0.35,0
0.41,0
0.31,0
0.55,0
0.39,0
0.32,0
0.3,0
0.43,0
0.45,0
0.35,0
0.39,0
0.43,0
0.59,0
0.45,0
0.51,0
0.52,0
0.61,0
0.35,0
0.6,0
0.49,0
0.57,0
0.54,0
0.54,0
0.54,0
0.47,0
0.62,0
0.67,0
0.61,0
0.54,0
0.5,0
0.51,0
0.46,0
0.49,0
0.39,0
0.26,0
0.35,0
0.33,0
0.5,0
0.31,0
0.28,0
0.29,0
0.24,0
0.3,0
0.37,0
0.27,0
0.28,0
0.26,0
0.44,0
0.57,0
0.88,0
1.47,0
1.57,0
1.28,0
0.64,0
0.11,0
0.45,0
0.71,0
0.6,0
0.64,0
0.65,0
0.42,0
-0.08,0
-0.05,0
-0.01,0
-0.11,0
-0.03,0
-0.16,0
-0.24,0
-0.29,0
-0.29,0
-0.28,0
-0.23,0
-0.46,0
-0.45,0
-0.49,0
-0.55,0
-0.63,0
-0.7,0
-0.71,0
-0.77,0
-0.86,0
-0.84,0
-0.81,0
-0.68,0
-0.71,0
-0.56,0
-0.42,0
-0.22,0
-0.17,0
-0.05,0
0.11,0
0.24,0
0.24,0
0.37,0
0.41,0
0.39,0
0.33,0
0.33,0
0.35,0
0.29,0
0.28,0
0.32,0
0.36,0
0.29,0
0.39,0
0.32,0
0.41,0
0.49,0
0.5,0
0.42,0
0.49,0
0.44,0
0.35,0
0.35,0
0.44,0
0.35,0
0.29,0
0.34,0
0.42,0
0.44,0
0.39,0
0.57,0
0.56,0
0.51,0
0.51,0
0.49,0
0.31,0
0.05,0
0.23,0
0.2,0
0.05,0
0.3,0
0.18,0
0.23,0
0.3,0
0.22,0
0.18,0
0.22,0
0.28,0
0.29,0
0.31,0
0.27,0
0.22,0
0.39,0
0.78,0
0.88,0
1.27,0
1.71,0
1.07,0
0.43,0
0.0,0
0.37,0
0.66,0
0.62,0
0.56,0
0.62,0
0.55,0
0.17,0
-0.07,0
-0.04,0
-0.17,0
-0.13,0
-0.18,0
-0.72,0
-0.47,0
-0.53,0
-0.45,0
-0.54,0
-0.49,0
-0.56,0
-0.79,0
-0.64,0
-0.86,0
-0.91,0
-0.8,0
-0.95,0
-0.85,0
-0.97,0
-0.84,0
-0.84,0
-0.65,0
-0.46,0
-0.3,0
-0.21,0
-0.09,0
0.21,0
0.24,0
0.23,0
0.44,0
0.54,0
0.53,0
0.61,0
0.59,0
0.46,0
0.69,0
0.55,0
0.55,0
0.66,0
0.66,0
0.58,0
0.68,0
0.54,0
0.58,0
0.71,0
0.6,0
0.69,0
0.78,0
0.53,0
0.62,0
0.55,0
0.65,0
0.58,0
0.75,0
0.55,0
0.5,0
0.66,0
0.47,0
0.56,0
0.76,0
0.72,0
0.72,0
0.61,0
0.57,0
0.55,0
0.6,0
0.45,0
0.52,0
0.46,0
0.49,0
0.27,0
0.46,0
0.65,0
0.27,0
0.4,0
0.44,0
0.31,0
0.48,0
0.3,0
0.33,0
0.3,0
0.51,0
0.46,0
1.095,0
1.73,0
1.3,0
1.27,0
0.63,0
0.42,0
0.55,0
0.88,0
0.86,0
0.93,0
0.88,0
0.24,0
-0.03,0
0.07,0
0.0,0
-0.01,0
-0.04,0
0.02,0
-0.12,0
-0.03,0
-0.09,0
-0.08,0
-0.26,0
-0.16,0
-0.27,0
-0.45,0
-0.32,0
-0.49,0
-0.51,0
-0.62,0
-0.48,0
-0.43,0
-0.47,0
-0.43,0
-0.44,0
-0.47,0
-0.06,0
0.05,0
0.32,0
0.48,0
0.62,0
0.71,0
0.56,0
0.59,0
0.6,0
0.63,0
0.7,0
0.63,0
0.7,0
0.5,0
0.75,0
0.67,0
0.58,0
0.55,0
0.62,0
0.61,0
0.63,0
0.67,0
0.61,0
0.64,0
0.68,0
0.81,0
1.13,0
1.765,0
2.4,0
2.25,0
1.71,0
1.07,0
1.06,0
1.23,0
1.35,0
1.55,0
1.4,0
0.76,0
0.12,0
-0.12,0
-0.26,0
-0.16,0
-0.43,0
-0.57,0
-0.52,0
-0.5,0
-0.61,0
-0.61,0
-0.7,0
-0.7,0
-0.76,0
-0.93,0
-0.9,0
-0.99,0
-1.02,0
-1.12,0
-1.0,0
-1.03,0
-0.87,0
-1.03,0
-0.73,0
-0.36,0
-0.17,0
-0.26,0
0.01,0
0.17,0
0.33,0
0.37,0
0.42,0
0.55,0
0.44,0
0.55,0
0.48,0
0.58,0
0.46,0
0.4,0
0.49,0
0.45,0
0.44,0
0.39,0
0.43,0
0.38,0
0.38,0
0.32,0
0.34,0
0.26,0
0.29,0
0.27,0
0.3,0
0.23,0
0.2,0
0.24,0
0.26,0
0.21,0
0.19,0
0.21,0
0.2,0
0.09,0
0.17,0
0.13,0
0.11,0
0.09,0
0.08,0
0.17,0
0.06,0
0.07,0
0.06,0
0.1,0
0.06,0
0.09,0
0.11,0
0.09,0
0.05,0
0.05,0
-0.02,0
0.17,0
0.01,0
0.05,0
0.1,0
0.06,0
0.02,0
0.11,0
0.1,0
0.03,0
0.06,0
0.11,0
0.06,0
0.15,0
0.08,0
0.16,0
0.12,0
0.1,0
0.09,0
0.11,0
0.07,0
0.17,0
0.01,0
0.09,0
0.11,0
0.05,0
0.06,0
0.03,0
0.06,0
0.02,0
0.06,0
0.09,0
0.02,0
0.06,0
0.0,0
0.1,0
0.1,0
0.03,0
-0.01,0
0.07,0
0.17,0
0.16,0
0.18,0
-0.06,0
0.31,0
0.06,0
-0.05,0
-0.02,0
-0.23,0
0.04,0
0.08,0
-0.01,0
-0.05,0
-0.05,0
-0.11,0
-0.06,0
0.07,0
-0.1,0
-0.1,0
0.12,0
-0.08,0
0.13,0
0.26,0
0.84,0
1.475,0
1.24,0
1.01,0
0.37,0
-0.05,0
0.43,0
0.41,0
0.41,0
0.36,0
0.13,0
-0.51,0
-0.69,0
-0.95,0
-0.76,0
-0.96,0
-1.03,0
-1.11,0
-1.06,0
-1.06,0
-1.06,0
-1.06,0
-1.27,0
-1.16,0
-1.4,0
-1.31,0
-1.34,0
-1.46,0
-1.51,0
-1.47,0
-1.62,0
-1.51,0
-1.51,0
-1.46,0
-1.39,0
-1.36,0
-1.18,0
-0.98,0
-0.83,0
-0.74,0
-0.51,0
-0.4,0
-0.19,0
-0.08,0
0.11,0
0.14,0
0.27,0
0.31,0
0.37,0
0.42,0
0.37,0
0.28,0
0.22,0
0.3,0
0.21,0
0.36,0
0.16,0
0.13,0
0.22,0
0.1,0
0.35,0
0.33,0
0.39,0
-0.01,0
-0.54,0
-1.18,0
-1.82,0
-2.46,0
-3.1,0
-3.74,0
-4.31,0
-4.01,0
-3.375,0
-2.74,0
-2.105,0
-1.47,0
-0.835,0
-0.2,0
-0.06,0
-0.04,0
-0.07,0
-0.01,0
0.05,0
0.25,0
0.35,0
0.39,0
0.5,0
0.55,0
0.62,0
0.64,0
0.89,0
0.94,0
1.16,0
1.26,0
1.42,0
1.61,0
1.64,0
1.61,0
1.69,0
1.61,0
1.56,0
1.41,0
1.29,0
1.17,0
0.98,0
0.83,0
0.74,0
0.61,0
0.49,0
0.38,0
0.38,0
0.34,0
0.33,0
0.25,0
0.32,0
0.31,0
0.25,0
0.25,0
0.25,0
0.18,0
0.2,0
0.25,0
0.16,0
0.14,0
0.14,0
0.13,0
0.1,0
0.12,0
0.06,0
0.08,0
0.09,0
0.06,0
0.0,0
0.05,0
0.01,0
0.02,0
0.02,0
0.07,0
0.03,0
0.02,0
0.03,0
0.04,0
0.03,0
0.06,0
-0.01,0
0.13,0
0.06,0
-0.01,0
0.14,0
0.08,0
0.0,0
-0.01,0
0.08,0
0.0,0
0.03,0
-0.02,0
0.01,0
0.0,0
-0.06,0
-0.06,0
-0.02,0
-0.01,0
-0.05,0
-0.11,0
-0.06,0
-0.09,0
-0.11,0
-0.06,0
-0.04,0
-0.06,0
-0.07,0
-0.02,0
-0.02,0
-0.06,0
-0.09,0
-0.02,0
0.02,0
-0.06,0
-0.04,0
-0.02,0
0.04,0
-0.06,0
-0.05,0
0.02,0
0.06,0
-0.06,0
0.04,0
0.11,0
0.17,0
0.19,0
0.19,0
0.2,0
0.04,0
-0.02,0
0.02,0
-0.07,0
-0.13,0
-0.11,0
-0.1,0
-0.08,0
-0.22,0
-0.07,0
-0.15,0
-0.13,0
-0.16,0
-0.14,0
-0.12,0
-0.11,0
0.08,0
0.18,0
0.815,0
1.45,0
1.13,0
0.67,0
0.03,0
0.21,0
0.48,0
0.46,0
0.43,0
0.42,0
0.01,0
-0.5,0
-0.54,0
-0.67,0
-0.73,0
-0.72,0
-0.76,0
-0.89,0
-0.9,0
-0.92,0
-0.96,0
-1.03,0
-1.03,0
-1.0,0
-1.08,0
-1.16,0
-1.23,0
-1.2,0
-1.27,0
-1.41,0
-1.35,0
-1.45,0
-1.4,0
-1.39,0
-1.35,0
-1.25,0
-1.12,0
-0.98,0
-0.69,0
-0.6,0
-0.34,0
-0.2,0
-0.01,0
0.18,0
0.17,0
0.42,0
0.43,0
0.52,0
0.53,0
0.46,0
0.6,0
0.51,0
0.42,0
0.42,0
0.45,0
0.42,0
0.31,0
0.33,0
0.3,0
0.31,0
0.25,0
0.33,0
0.33,0
0.45,0
0.12,0
-0.52,0
-1.16,0
-1.8,0
-2.44,0
-3.08,0
-3.72,0
-4.36,0
-4.38,0
-3.745,0
-3.11,0
-2.475,0
-1.84,0
-1.205,0
-0.57,0
0.065,0
0.27,0
0.16,0
0.12,0
0.1,0
0.22,0
0.26,0
0.23,0
0.37,0
0.48,0
0.56,0
0.74,0
0.87,0
1.06,0
1.27,0
1.35,0
1.5,0
1.63,0
1.72,0
1.79,0
1.81,0
1.8,0
1.72,0
1.57,0
1.46,0
1.33,0
1.1,0
0.96,0
0.87,0
0.77,0
0.6,0
0.5,0
0.46,0
0.43,0
0.31,0
0.32,0
0.33,0
